GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0009819,drought recovery,1,1,0,0.0018,0.0306
GO:0035970,peptidyl-threonine dephosphorylation,3,1,0.01,0.0055,0.0437
GO:0045926,negative regulation of growth,5,1,0.01,0.0091,0.0437
GO:0006646,phosphatidylethanolamine biosynthetic pr...,9,1,0.02,0.0164,0.0437
GO:0046337,phosphatidylethanolamine metabolic proce...,9,1,0.02,0.0164,0.0437
GO:0006535,cysteine biosynthetic process from serin...,10,1,0.02,0.0182,0.0437
GO:0019344,cysteine biosynthetic process,12,1,0.02,0.0218,0.0437
GO:0006534,cysteine metabolic process,15,1,0.03,0.0271,0.0437
GO:0006563,L-serine metabolic process,16,1,0.03,0.0289,0.0437
GO:0009742,brassinosteroid mediated signaling pathw...,20,1,0.04,0.036,0.0437
GO:0043401,steroid hormone mediated signaling pathw...,20,1,0.04,0.036,0.0437
GO:0048545,response to steroid hormone,20,1,0.04,0.036,0.0437
GO:0071367,cellular response to brassinosteroid sti...,20,1,0.04,0.036,0.0437
GO:0071383,cellular response to steroid hormone sti...,20,1,0.04,0.036,0.0437
GO:0000097,sulfur amino acid biosynthetic process,23,1,0.04,0.0413,0.0439
GO:0009070,serine family amino acid biosynthetic pr...,23,1,0.04,0.0413,0.0439
GO:0009741,response to brassinosteroid,25,1,0.05,0.0448,0.0448
