GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0043086,negative regulation of catalytic activit...,66,12,1.43,1.4e-08,0
GO:0044092,negative regulation of molecular functio...,67,12,1.45,1.7e-08,0
GO:0010466,negative regulation of peptidase activit...,26,8,0.56,4.8e-08,0
GO:0010951,negative regulation of endopeptidase act...,26,8,0.56,4.8e-08,0
GO:0045861,negative regulation of proteolysis,26,8,0.56,4.8e-08,0
GO:0052548,regulation of endopeptidase activity,27,8,0.58,6.7e-08,1e-04
GO:0052547,regulation of peptidase activity,30,8,0.65,1.7e-07,1e-04
GO:0051346,negative regulation of hydrolase activit...,33,8,0.71,3.8e-07,2e-04
GO:0009611,response to wounding,34,8,0.74,4.8e-07,2e-04
GO:0030162,regulation of proteolysis,44,8,0.95,3.9e-06,0.0018
GO:0051336,regulation of hydrolase activity,60,9,1.3,5.1e-06,0.0021
GO:0050790,regulation of catalytic activity,249,18,5.39,7.8e-06,0.0029
GO:0065009,regulation of molecular function,252,18,5.45,9.2e-06,0.0032
GO:0016102,diterpenoid biosynthetic process,18,5,0.39,3.1e-05,0.01
GO:0016101,diterpenoid metabolic process,20,5,0.43,5.4e-05,0.0163
GO:0032269,negative regulation of cellular protein ...,82,9,1.77,6.7e-05,0.019
GO:0051248,negative regulation of protein metabolic...,83,9,1.8,7.4e-05,0.0197
GO:0000272,polysaccharide catabolic process,75,7,1.62,0.0012,0.3017
GO:0042737,drug catabolic process,76,7,1.64,0.0013,0.3097
GO:0005976,polysaccharide metabolic process,242,13,5.24,0.0024,0.5431
GO:0042136,neurotransmitter biosynthetic process,4,2,0.09,0.0027,0.5819
GO:0017144,drug metabolic process,231,12,5,0.0045,0.9258
GO:0031407,oxylipin metabolic process,17,3,0.37,0.0054,1
GO:0031408,oxylipin biosynthetic process,17,3,0.37,0.0054,1
GO:0032268,regulation of cellular protein metabolic...,182,10,3.94,0.0063,1
GO:0051246,regulation of protein metabolic process,187,10,4.05,0.0075,1
GO:0051172,negative regulation of nitrogen compound...,192,10,4.16,0.009,1
GO:0009229,thiamine diphosphate biosynthetic proces...,7,2,0.15,0.0091,1
GO:0042357,thiamine diphosphate metabolic process,7,2,0.15,0.0091,1
GO:0047484,regulation of response to osmotic stress,7,2,0.15,0.0091,1
GO:1901000,regulation of response to salt stress,7,2,0.15,0.0091,1
GO:0016114,terpenoid biosynthetic process,84,6,1.82,0.0097,1
GO:0006629,lipid metabolic process,702,25,15.19,0.0098,1
GO:0031324,negative regulation of cellular metaboli...,196,10,4.24,0.0103,1
GO:0016052,carbohydrate catabolic process,171,9,3.7,0.0121,1
GO:0016998,cell wall macromolecule catabolic proces...,23,3,0.5,0.0129,1
GO:0006721,terpenoid metabolic process,91,6,1.97,0.014,1
GO:0071554,cell wall organization or biogenesis,207,10,4.48,0.0147,1
GO:0010393,galacturonan metabolic process,44,4,0.95,0.0148,1
GO:0045488,pectin metabolic process,44,4,0.95,0.0148,1
GO:0048523,negative regulation of cellular process,273,12,5.91,0.0158,1
GO:0044728,DNA methylation or demethylation,25,3,0.54,0.0162,1
GO:0006587,serotonin biosynthetic process from tryp...,1,1,0.02,0.0216,1
GO:0009859,pollen hydration,1,1,0.02,0.0216,1
GO:0010338,leaf formation,1,1,0.02,0.0216,1
GO:0042149,cellular response to glucose starvation,1,1,0.02,0.0216,1
GO:0070301,cellular response to hydrogen peroxide,1,1,0.02,0.0216,1
GO:1903241,U2-type prespliceosome assembly,1,1,0.02,0.0216,1
GO:0000209,protein polyubiquitination,28,3,0.61,0.022,1
GO:0006304,DNA modification,28,3,0.61,0.022,1
