GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0043414,macromolecule methylation,266,1,0.03,0.034,1
GO:0032259,methylation,504,1,0.07,0.065,1
GO:0043412,macromolecule modification,3517,1,0.46,0.394,1
GO:0044260,cellular macromolecule metabolic process,5988,1,0.79,0.598,1
GO:0043170,macromolecule metabolic process,7516,1,0.99,0.697,1
GO:0044237,cellular metabolic process,9270,1,1.22,0.79,1
GO:0071704,organic substance metabolic process,9793,1,1.28,0.813,1
GO:0008152,metabolic process,10367,1,1.36,0.837,1
GO:0009987,cellular process,12731,1,1.67,0.913,1
GO:0008150,biological_process,16230,1,2.13,0.976,1
GO:0000002,mitochondrial genome maintenance,6,0,0,1,1
GO:0000003,reproduction,445,0,0.06,1,1
GO:0000012,single strand break repair,1,0,0,1,1
GO:0000018,regulation of DNA recombination,10,0,0,1,1
GO:0000019,regulation of mitotic recombination,2,0,0,1,1
GO:0000023,maltose metabolic process,3,0,0,1,1
GO:0000025,maltose catabolic process,2,0,0,1,1
GO:0000027,ribosomal large subunit assembly,6,0,0,1,1
GO:0000028,ribosomal small subunit assembly,8,0,0,1,1
GO:0000032,cell wall mannoprotein biosynthetic proc...,2,0,0,1,1
GO:0000038,very long-chain fatty acid metabolic pro...,3,0,0,1,1
GO:0000041,transition metal ion transport,46,0,0.01,1,1
GO:0000045,autophagosome assembly,19,0,0,1,1
GO:0000050,urea cycle,1,0,0,1,1
GO:0000054,ribosomal subunit export from nucleus,9,0,0,1,1
GO:0000055,ribosomal large subunit export from nucl...,5,0,0,1,1
GO:0000056,ribosomal small subunit export from nucl...,3,0,0,1,1
GO:0000070,mitotic sister chromatid segregation,46,0,0.01,1,1
GO:0000075,cell cycle checkpoint,24,0,0,1,1
GO:0000076,DNA replication checkpoint,3,0,0,1,1
GO:0000077,DNA damage checkpoint,9,0,0,1,1
GO:0000079,regulation of cyclin-dependent protein s...,24,0,0,1,1
GO:0000082,G1/S transition of mitotic cell cycle,8,0,0,1,1
GO:0000086,G2/M transition of mitotic cell cycle,7,0,0,1,1
GO:0000096,sulfur amino acid metabolic process,43,0,0.01,1,1
GO:0000097,sulfur amino acid biosynthetic process,37,0,0,1,1
GO:0000098,sulfur amino acid catabolic process,1,0,0,1,1
GO:0000103,sulfate assimilation,17,0,0,1,1
GO:0000105,histidine biosynthetic process,14,0,0,1,1
GO:0000122,negative regulation of transcription by ...,11,0,0,1,1
GO:0000154,rRNA modification,31,0,0,1,1
GO:0000160,phosphorelay signal transduction system,89,0,0.01,1,1
GO:0000162,tryptophan biosynthetic process,15,0,0,1,1
GO:0000165,MAPK cascade,14,0,0,1,1
GO:0000184,nuclear-transcribed mRNA catabolic proce...,31,0,0,1,1
GO:0000209,protein polyubiquitination,29,0,0,1,1
GO:0000212,meiotic spindle organization,4,0,0,1,1
GO:0000226,microtubule cytoskeleton organization,134,0,0.02,1,1
GO:0000244,spliceosomal tri-snRNP complex assembly,9,0,0,1,1
GO:0000245,spliceosomal complex assembly,11,0,0,1,1
