GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0045088,regulation of innate immune response,26,2,0.06,0.0014,1
GO:0050776,regulation of immune response,31,2,0.07,0.002,1
GO:0002682,regulation of immune system process,32,2,0.07,0.0022,1
GO:0080037,negative regulation of cytokinin-activat...,1,1,0,0.0022,1
GO:0097053,L-kynurenine catabolic process,1,1,0,0.0022,1
GO:0018230,peptidyl-L-cysteine S-palmitoylation,2,1,0,0.0043,1
GO:0018231,peptidyl-S-diacylglycerol-L-cysteine bio...,2,1,0,0.0043,1
GO:0097052,L-kynurenine metabolic process,2,1,0,0.0043,1
GO:0010363,regulation of plant-type hypersensitive ...,3,1,0.01,0.0065,1
GO:0018345,protein palmitoylation,3,1,0.01,0.0065,1
GO:0034051,negative regulation of plant-type hypers...,3,1,0.01,0.0065,1
GO:0002831,regulation of response to biotic stimulu...,63,2,0.14,0.0081,1
GO:0010089,xylem development,4,1,0.01,0.0086,1
GO:0006497,protein lipidation,66,2,0.14,0.0089,1
GO:0042158,lipoprotein biosynthetic process,66,2,0.14,0.0089,1
GO:0070085,glycosylation,201,3,0.43,0.0092,1
GO:0042157,lipoprotein metabolic process,69,2,0.15,0.0097,1
GO:0006433,prolyl-tRNA aminoacylation,5,1,0.01,0.0107,1
GO:0015909,long-chain fatty acid transport,5,1,0.01,0.0107,1
GO:0032309,icosanoid secretion,5,1,0.01,0.0107,1
GO:0046717,acid secretion,5,1,0.01,0.0107,1
GO:0050482,arachidonic acid secretion,5,1,0.01,0.0107,1
GO:0071715,icosanoid transport,5,1,0.01,0.0107,1
GO:0080036,regulation of cytokinin-activated signal...,5,1,0.01,0.0107,1
GO:1901571,fatty acid derivative transport,5,1,0.01,0.0107,1
GO:1903963,arachidonate transport,5,1,0.01,0.0107,1
GO:0032101,regulation of response to external stimu...,74,2,0.16,0.0111,1
GO:0045087,innate immune response,77,2,0.17,0.0119,1
GO:0048585,negative regulation of response to stimu...,79,2,0.17,0.0125,1
GO:0015908,fatty acid transport,6,1,0.01,0.0129,1
GO:0043069,negative regulation of programmed cell d...,6,1,0.01,0.0129,1
GO:0070189,kynurenine metabolic process,6,1,0.01,0.0129,1
GO:0006955,immune response,81,2,0.17,0.0132,1
GO:0031347,regulation of defense response,85,2,0.18,0.0144,1
GO:0002376,immune system process,92,2,0.2,0.0167,1
GO:0002683,negative regulation of immune system pro...,8,1,0.02,0.0171,1
GO:0030968,endoplasmic reticulum unfolded protein r...,8,1,0.02,0.0171,1
GO:0045824,negative regulation of innate immune res...,8,1,0.02,0.0171,1
GO:0050777,negative regulation of immune response,8,1,0.02,0.0171,1
GO:0002757,immune response-activating signal transd...,9,1,0.02,0.0192,1
GO:0002758,innate immune response-activating signal...,9,1,0.02,0.0192,1
GO:0006986,response to unfolded protein,9,1,0.02,0.0192,1
GO:0034620,cellular response to unfolded protein,9,1,0.02,0.0192,1
GO:0002832,negative regulation of response to bioti...,10,1,0.02,0.0214,1
GO:0042182,ketone catabolic process,10,1,0.02,0.0214,1
GO:0016042,lipid catabolic process,109,2,0.24,0.023,1
GO:0000122,negative regulation of transcription by ...,11,1,0.02,0.0235,1
GO:0010087,phloem or xylem histogenesis,11,1,0.02,0.0235,1
GO:0032102,negative regulation of response to exter...,11,1,0.02,0.0235,1
GO:0048583,regulation of response to stimulus,296,3,0.64,0.0256,1
