Exclusive	OG897653	B1_k25_TRINITY_DN100400_c0_g1_i1	non-coding
Accessory	OG0268965	B1_k25_TRINITY_DN10207_c0_g1_i2	protein-coding
Exclusive	OG2940289	B1_k25_TRINITY_DN103607_c0_g1_i1	non-coding
Accessory	OG2363172	B1_k25_TRINITY_DN109911_c0_g1_i1	non-coding
Accessory	OG1261978	B1_k25_TRINITY_DN110218_c0_g1_i1	non-coding
Soft-core	OG0004288	B1_k25_TRINITY_DN11245_c0_g3_i3	protein and non-coding
Accessory	OG1435712	B1_k25_TRINITY_DN11245_c0_g3_i3	protein and non-coding
Accessory	OG3325328	B1_k25_TRINITY_DN113195_c1_g1_i1	non-coding
Exclusive	OG368239	B1_k25_TRINITY_DN11395_c0_g1_i3	non-coding
Accessory	OG0015026	B1_k25_TRINITY_DN11588_c0_g1_i7	protein-coding
Soft-core	OG0001444	B1_k25_TRINITY_DN11940_c0_g1_i7	protein-coding
Accessory	OG0209382	B1_k25_TRINITY_DN121500_c0_g1_i1	protein-coding
Exclusive	OG1246814	B1_k25_TRINITY_DN12215_c0_g1_i3	non-coding
Accessory	OG0047808	B1_k25_TRINITY_DN13182_c1_g1_i2	protein and non-coding
Exclusive	OG1416159	B1_k25_TRINITY_DN13182_c1_g1_i2	protein and non-coding
Accessory	OG2706718	B1_k25_TRINITY_DN13535_c3_g1_i15	protein and non-coding
Accessory	OG2018877	B1_k25_TRINITY_DN13598_c1_g3_i7	non-coding
Accessory	OG0209383	B1_k25_TRINITY_DN14242_c0_g2_i4	protein-coding
Accessory	OG0003241	B1_k25_TRINITY_DN16271_c0_g1_i1	protein-coding
Soft-core	OG0009837	B1_k25_TRINITY_DN16868_c0_g1_i1	protein-coding
Soft-core	OG0001352	B1_k25_TRINITY_DN17988_c0_g1_i1	protein-coding
Accessory	OG2887083	B1_k25_TRINITY_DN19241_c0_g1_i1	non-coding
Exclusive	OG1953004	B1_k25_TRINITY_DN21282_c0_g1_i5	non-coding
Accessory	OG138664	B1_k25_TRINITY_DN22602_c0_g1_i11	non-coding
Accessory	OG0171769	B1_k25_TRINITY_DN26822_c0_g1_i2	protein-coding
Accessory	OG2399613	B1_k25_TRINITY_DN2906_c0_g1_i3	non-coding
Accessory	OG1545667	B1_k25_TRINITY_DN2950_c0_g2_i1	non-coding
Accessory	OG1390164	B1_k25_TRINITY_DN30158_c0_g1_i1	non-coding
Accessory	OG2709157	B1_k25_TRINITY_DN31130_c0_g1_i2	non-coding
Accessory	OG2076811	B1_k25_TRINITY_DN32048_c0_g1_i1	non-coding
Accessory	OG0015027	B1_k25_TRINITY_DN34449_c1_g1_i1	protein and non-coding
Accessory	OG3244662	B1_k25_TRINITY_DN34449_c1_g1_i1	protein and non-coding
Accessory	OG0100308	B1_k25_TRINITY_DN3608_c0_g1_i5	protein-coding
Accessory	OG0056905	B1_k25_TRINITY_DN37159_c0_g1_i1	protein-coding
Accessory	OG0209384	B1_k25_TRINITY_DN3817_c0_g2_i2	protein-coding
Accessory	OG0022006	B1_k25_TRINITY_DN43457_c0_g1_i1	protein-coding
Accessory	OG0008811	B1_k25_TRINITY_DN4592_c0_g2_i1	protein-coding
Accessory	OG0075974	B1_k25_TRINITY_DN492_c4_g1_i1	protein and non-coding
Accessory	OG3065849	B1_k25_TRINITY_DN492_c4_g1_i1	protein and non-coding
Accessory	OG0146025	B1_k25_TRINITY_DN5404_c0_g1_i1	protein and non-coding
Exclusive	OG3137417	B1_k25_TRINITY_DN5404_c0_g1_i1	protein and non-coding
Accessory	OG1494295	B1_k25_TRINITY_DN54202_c0_g1_i1	non-coding
Accessory	OG0000414	B1_k25_TRINITY_DN5525_c1_g1_i6	protein-coding
Accessory	OG0015428	B1_k25_TRINITY_DN5615_c0_g1_i1	protein-coding
Hard-core	OG0000118	B1_k25_TRINITY_DN6801_c0_g1_i5	protein-coding
Soft-core	OG0000118	B1_k25_TRINITY_DN6801_c0_g1_i5	protein-coding
Accessory	OG0045331	B1_k25_TRINITY_DN6966_c2_g1_i7	protein and non-coding
Accessory	OG1729944	B1_k25_TRINITY_DN6966_c2_g1_i7	protein and non-coding
Accessory	OG3187613	B1_k25_TRINITY_DN7006_c0_g1_i10	non-coding
Soft-core	OG0015429	B1_k25_TRINITY_DN7334_c0_g2_i8	protein-coding
Accessory	OG0025674	B1_k25_TRINITY_DN74367_c0_g1_i1	protein-coding
Accessory	OG0012083	B1_k25_TRINITY_DN7537_c0_g2_i3	protein-coding
Exclusive	OG1879153	B1_k25_TRINITY_DN7653_c0_g1_i1	non-coding
Accessory	OG2048317	B1_k25_TRINITY_DN77292_c0_g1_i1	non-coding
Exclusive	OG1677680	B1_k25_TRINITY_DN78222_c0_g1_i1	non-coding
Accessory	OG0023433	B1_k25_TRINITY_DN7842_c0_g1_i1	protein-coding
Accessory	OG0171770	B1_k25_TRINITY_DN80513_c0_g1_i1	protein-coding
Accessory	OG0041058	B1_k25_TRINITY_DN8456_c0_g1_i12	protein-coding
Accessory	OG0002675	B1_k31_TRINITY_DN10111_c0_g1_i5	protein-coding
Soft-core	OG0001695	B1_k31_TRINITY_DN10209_c0_g1_i5	protein-coding
Accessory	OG0037461	B1_k31_TRINITY_DN10363_c0_g1_i2	protein-coding
Accessory	OG0171771	B1_k31_TRINITY_DN10550_c0_g4_i1	protein-coding
Exclusive	OG897654	B1_k31_TRINITY_DN109330_c0_g1_i1	non-coding
Accessory	OG2940290	B1_k31_TRINITY_DN117290_c0_g1_i1	non-coding
Exclusive	OG2894061	B1_k31_TRINITY_DN118039_c0_g1_i1	non-coding
Accessory	OG0043118	B1_k31_TRINITY_DN11901_c1_g2_i5	protein-coding
Soft-core	OG0008258	B1_k31_TRINITY_DN11984_c0_g2_i3	protein-coding
Accessory	OG1717447	B1_k31_TRINITY_DN12857_c0_g1_i2	protein and non-coding
Accessory	OG0001564	B1_k31_TRINITY_DN13397_c0_g1_i6	protein-coding
