GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:1901360,organic cyclic compound metabolic proces...,3088,469,407.92,0.00011,0.2716
GO:0006139,nucleobase-containing compound metabolic...,2776,424,366.71,0.00016,0.2716
GO:0046483,heterocycle metabolic process,2937,446,387.98,0.00018,0.2716
GO:0006725,cellular aromatic compound metabolic pro...,3019,454,398.81,0.00038,0.43
GO:0090304,nucleic acid metabolic process,2465,376,325.62,5e-04,0.4526
GO:0034641,cellular nitrogen compound metabolic pro...,3139,468,414.66,0.00065,0.4903
GO:0016567,protein ubiquitination,324,62,42.8,0.00148,0.9014
GO:0061615,glycolytic process through fructose-6-ph...,19,8,2.51,0.00178,0.9014
GO:0030639,polyketide biosynthetic process,3,3,0.4,0.0023,0.9014
GO:0033331,ent-kaurene metabolic process,3,3,0.4,0.0023,0.9014
GO:0006002,fructose 6-phosphate metabolic process,12,6,1.59,0.00239,0.9014
GO:0046470,phosphatidylcholine metabolic process,12,6,1.59,0.00239,0.9014
GO:0006656,phosphatidylcholine biosynthetic process,9,5,1.19,0.00317,1
GO:0006298,mismatch repair,39,12,5.15,0.0034,1
GO:0032446,protein modification by small protein co...,342,63,45.18,0.00349,1
GO:0006955,immune response,58,15,7.66,0.00704,1
GO:0072348,sulfur compound transport,23,8,3.04,0.00711,1
GO:0045087,innate immune response,53,14,7,0.00745,1
GO:0000012,single strand break repair,4,3,0.53,0.00829,1
GO:0030638,polyketide metabolic process,4,3,0.53,0.00829,1
GO:0006259,DNA metabolic process,1024,161,135.27,0.00838,1
GO:0006281,DNA repair,343,61,45.31,0.00873,1
GO:0002376,immune system process,65,16,8.59,0.00907,1
GO:0016070,RNA metabolic process,1429,218,188.77,0.00914,1
GO:0006438,valyl-tRNA aminoacylation,11,5,1.45,0.00926,1
GO:0032196,transposition,82,19,10.83,0.00934,1
GO:0033554,cellular response to stress,491,83,64.86,0.00972,1
GO:0006974,cellular response to DNA damage stimulus,367,64,48.48,0.01127,1
GO:0070647,protein modification by small protein co...,408,70,53.9,0.01202,1
GO:0008272,sulfate transport,16,6,2.11,0.01294,1
GO:0009657,plastid organization,62,15,8.19,0.01328,1
GO:0010267,production of ta-siRNAs involved in RNA ...,8,4,1.06,0.01365,1
GO:0042446,hormone biosynthetic process,31,9,4.1,0.01588,1
GO:0006592,ornithine biosynthetic process,2,2,0.26,0.01744,1
GO:0010241,ent-kaurene oxidation to kaurenoic acid,2,2,0.26,0.01744,1
GO:0040034,regulation of development, heterochronic,2,2,0.26,0.01744,1
GO:0048506,regulation of timing of meristematic pha...,2,2,0.26,0.01744,1
GO:0048510,regulation of timing of transition from ...,2,2,0.26,0.01744,1
GO:0048598,embryonic morphogenesis,2,2,0.26,0.01744,1
GO:0006302,double-strand break repair,53,13,7,0.0182,1
GO:0006370,7-methylguanosine mRNA capping,5,3,0.66,0.0187,1
GO:0009686,gibberellin biosynthetic process,5,3,0.66,0.0187,1
GO:0032456,endocytic recycling,5,3,0.66,0.0187,1
GO:0006289,nucleotide-excision repair,37,10,4.89,0.01883,1
GO:0051028,mRNA transport,37,10,4.89,0.01883,1
GO:0015846,polyamine transport,9,4,1.19,0.02203,1
GO:0098876,vesicle-mediated transport to the plasma...,9,4,1.19,0.02203,1
GO:1902047,polyamine transmembrane transport,9,4,1.19,0.02203,1
GO:0006406,mRNA export from nucleus,18,6,2.38,0.0238,1
GO:0071427,mRNA-containing ribonucleoprotein comple...,18,6,2.38,0.0238,1
