GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0042335,cuticle development,3,2,0.03,0.00028,0.0078
GO:0006723,cuticle hydrocarbon biosynthetic process,1,1,0.01,0.00966,0.0386
GO:0010375,stomatal complex patterning,1,1,0.01,0.00966,0.0386
GO:0033321,homomethionine metabolic process,1,1,0.01,0.00966,0.0386
GO:0033506,glucosinolate biosynthetic process from ...,1,1,0.01,0.00966,0.0386
GO:1903227,xanthosine metabolic process,1,1,0.01,0.00966,0.0386
GO:1903229,xanthosine biosynthetic process,1,1,0.01,0.00966,0.0386
GO:0060149,negative regulation of posttranscription...,2,1,0.02,0.01924,0.0464
GO:0060967,negative regulation of gene silencing by...,2,1,0.02,0.01924,0.0464
GO:0060969,negative regulation of gene silencing,2,1,0.02,0.01924,0.0464
GO:1900369,negative regulation of RNA interference,2,1,0.02,0.01924,0.0464
GO:0048658,anther wall tapetum development,3,1,0.03,0.02872,0.0464
GO:1901659,glycosyl compound biosynthetic process,29,2,0.28,0.03181,0.0464
GO:0010143,cutin biosynthetic process,4,1,0.04,0.0381,0.0464
GO:0010440,stomatal lineage progression,4,1,0.04,0.0381,0.0464
GO:0032106,positive regulation of response to extra...,4,1,0.04,0.0381,0.0464
GO:0032109,positive regulation of response to nutri...,4,1,0.04,0.0381,0.0464
GO:0043405,regulation of MAP kinase activity,4,1,0.04,0.0381,0.0464
GO:0043407,negative regulation of MAP kinase activi...,4,1,0.04,0.0381,0.0464
GO:0080040,positive regulation of cellular response...,4,1,0.04,0.0381,0.0464
GO:0140255,regulation of cellular response to phosp...,4,1,0.04,0.0381,0.0464
GO:1900368,regulation of RNA interference,4,1,0.04,0.0381,0.0464
GO:1990547,mitochondrial phosphate ion transmembran...,4,1,0.04,0.0381,0.0464
GO:0071985,multivesicular body sorting pathway,33,2,0.32,0.04035,0.0471
GO:0098661,inorganic anion transmembrane transport,35,2,0.34,0.0449,0.0492
GO:0043408,regulation of MAPK cascade,5,1,0.05,0.0474,0.0492
GO:0043409,negative regulation of MAPK cascade,5,1,0.05,0.0474,0.0492
GO:0046854,phosphatidylinositol phosphorylation,85,3,0.82,0.04939,0.0494
